State,District,Latitude,Longitude,Soil_phh2o_0-5cm,Soil_ocd_0-5cm,Soil_clay_0-5cm,Soil_sand_0-5cm,Soil_silt_0-5cm,Soil_bdod_0-5cm,Year,avg_temp,avg_humidity,avg_windspeed,avg_solarradiation
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2001 - 2002,27.63438356,79.64772603,4.318027397,18.25668493
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2002 - 2003,27.80306849,79.30580822,4.545643836,18.53405479
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2003 - 2004,27.76147541,78.54803279,4.389672131,18.02737705
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2004 - 2005,27.76350685,79.08090411,4.126273973,18.50890411
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2005 - 2006,27.69224658,80.09010959,4.345232877,17.43616438
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2006 - 2007,27.6830411,78.05306849,4.659479452,18.54487671
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2007 - 2008,27.60199454,79.80453552,4.564945355,17.11087432
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2008 - 2009,27.70465753,78.05438356,4.404630137,17.90071233
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2009 - 2010,28.26035616,77.0510137,4.096219178,18.17764384
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2010 - 2011,27.56580822,80.4989589,4.360136986,16.7489863
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2011 - 2012,27.74385246,78.26743169,4.677185792,17.15904372
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2012 - 2013,27.89884932,78.71356164,4.332219178,17.3719726
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2013 - 2014,27.76980822,77.15715068,4.349561644,17.99268493
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2014 - 2015,28.06465753,77.08353425,4.311178082,17.75668493
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2015 - 2016,28.37650273,76.89868852,4.207786885,18.47603825
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2016 - 2017,28.0179726,78.37764384,4.018684932,18.2249863
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2017 - 2018,27.98172603,78.51380822,3.997452055,17.82873973
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2018 - 2019,28.15257534,77.93945205,4.266821918,18.19969863
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2019 - 2020,28.13909836,76.58770492,4.01352459,18.91122951
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2020 - 2021,28.13983562,77.21320548,3.572273973,17.9539726
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2021 - 2022,27.93610959,79.04567123,3.853890411,17.82024658
Andaman and Nicobar Islands,North and middle andaman,12.6112387,92.8316541,5.6,38.1,33.7,37.7,28.6,1.23,2022 - 2023,28.16087671,77.00556164,3.818739726,18.34909589
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2001 - 2002,23.90224658,72.34438356,1.984684932,18.16808219
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2002 - 2003,24.54328767,66.81816438,2.039068493,18.39961644
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2003 - 2004,23.2892623,75.23669399,1.987240437,17.86013661
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2004 - 2005,23.83589041,72.63413699,1.800438356,18.56079452
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2005 - 2006,23.38235616,73.39082192,1.846438356,17.7310137
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2006 - 2007,23.66126027,73.86578082,1.919753425,17.99156164
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2007 - 2008,23.24937158,73.97642077,1.868907104,17.73825137
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2008 - 2009,24.29515068,69.33808219,1.794630137,17.94323288
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2009 - 2010,24.25205479,71.11290411,1.931424658,17.85235616
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2010 - 2011,23.08605479,77.33342466,1.840767123,17.42742466
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2011 - 2012,24.1804918,68.95215847,1.830464481,18.04467213
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2012 - 2013,23.60372603,73.81860274,2.050273973,17.48506849
Andhra Pradesh,Alluri sitharama raju,17.8859254,82.217928,5.9,33.9,25.4,45.1,29.5,1.19,2013 - 2014,23.45893151,74.96846575,1.951561644,17.39378082
